"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1993,70,"Wesserunsett Lake, Madison","","12/09/1992","04/26/1993","Will","Reid","RE-0230",""
1994,70,"Wesserunsett Lake, Madison","","11/28/1993","04/21/1994","Fred","Hayden ","",""
1994,70,"Wesserunsett Lake, Madison","","","04/21/1994","Will","Reid","RE-0230","Hayden Data"
1994,70,"Wesserunsett Lake, Madison","","","04/28/1994","","Laney/Reid","",""
1994,70,"Wesserunsett Lake, Madison","","12/18/1993","04/28/1994","Will","Reid","RE-0230","Reid Data"
1995,70,"Wesserunsett Lake, Madison","","11/30/1994","04/17/1995","Fred","Hayden ","",""
1995,70,"Wesserunsett Lake, Madison","","","04/17/1995","","Laney/Reid","",""
1995,70,"Wesserunsett Lake, Madison","","11/28/1994","04/17/1995","Will","Reid","RE-0230",""
1996,70,"Wesserunsett Lake, Madison","","01/27/1996","04/21/1996","Fred","Hayden ","",""
1996,70,"Wesserunsett Lake, Madison","","","04/21/1996","","Laney/Reid","",""
1996,70,"Wesserunsett Lake, Madison","","11/30/1995","04/21/1996","Will","Reid","RE-0230",""
1997,70,"Wesserunsett Lake, Madison","","12/09/1996","04/27/1997","Fred","Hayden ","",""
1997,70,"Wesserunsett Lake, Madison","","","04/27/1997","Will","Reid","RE-0230","Hayden Data"
1997,70,"Wesserunsett Lake, Madison","","","04/28/1997","","Laney/Reid","",""
1997,70,"Wesserunsett Lake, Madison","","01/01/1997","04/28/1997","Will","Reid","RE-0230","Reid Data"
1998,70,"Wesserunsett Lake, Madison","","01/01/1998","04/13/1998","Fred","Hayden ","",""
1998,70,"Wesserunsett Lake, Madison","","","04/13/1998","","Laney/Reid","",""
1998,70,"Wesserunsett Lake, Madison","","12/09/1997","04/13/1998","Will","Reid","RE-0230",""
1999,70,"Wesserunsett Lake, Madison","","12/19/1998","04/12/1999","Fred","Hayden ","",""
1999,70,"Wesserunsett Lake, Madison","","","04/12/1999","Will","Reid","RE-0230","Hayden Data"
1999,70,"Wesserunsett Lake, Madison","","","04/13/1999","","Laney/Reid","",""
1999,70,"Wesserunsett Lake, Madison","","01/01/1999","04/13/1999","Will","Reid","RE-0230","Reid Data"
2000,70,"Wesserunsett Lake, Madison","","12/05/1999","04/09/2000","Fred","Hayden ","",""
2000,70,"Wesserunsett Lake, Madison","","","04/09/2000","","Laney/Reid","",""
2000,70,"Wesserunsett Lake, Madison","","12/19/1999","04/09/2000","Will","Reid","RE-0230",""
2001,70,"Wesserunsett Lake, Madison","","12/27/2000","04/28/2001","Fred","Hayden ","",""
2001,70,"Wesserunsett Lake, Madison","","","04/28/2001","","Laney/Reid","",""
2001,70,"Wesserunsett Lake, Madison","","12/05/2000","04/28/2001","Will","Reid","RE-0230",""
2002,70,"Wesserunsett Lake, Madison","","11/29/2001","04/12/2002","Fred","Hayden ","",""
2002,70,"Wesserunsett Lake, Madison","","","04/12/2002","","Laney/Reid","",""
2002,70,"Wesserunsett Lake, Madison","","12/27/2001","04/12/2002","Will","Reid","RE-0230",""
2003,70,"Wesserunsett Lake, Madison","","11/29/2002","04/24/2003","","Laney/Reid","",""
2003,70,"Wesserunsett Lake, Madison","","11/29/2002","04/24/2003","Will","Reid","RE-0230",""
2004,70,"Wesserunsett Lake, Madison","","12/19/2003","04/19/2004","","Laney/Reid","",""
2004,70,"Wesserunsett Lake, Madison","","12/19/2003","04/19/2004","Will","Reid","RE-0230",""
2005,70,"Wesserunsett Lake, Madison","","12/10/2004","04/20/2005","","Laney/Reid","",""
2005,70,"Wesserunsett Lake, Madison","","12/15/2004","04/20/2005","Will","Reid","RE-0230",""
2006,70,"Wesserunsett Lake, Madison","","12/28/2005","04/02/2006","","Laney/Reid","",""
2006,70,"Wesserunsett Lake, Madison","","","04/02/2006","","Maine Lake Charts Inc.","",""
2006,70,"Wesserunsett Lake, Madison","","12/10/2005","04/02/2006","Will","Reid","RE-0230",""
2007,70,"Wesserunsett Lake, Madison","","","04/27/2007","","Maine Lake Charts Inc.","",""
2007,70,"Wesserunsett Lake, Madison","","12/28/2006","04/27/2007","Will","Reid","RE-0230",""
2009,70,"Wesserunsett Lake, Madison","","","04/14/2009","","Maine Lake Charts Inc.","",""
2010,70,"Wesserunsett Lake, Madison","","","03/24/2010","Will","Reid","RE-0230",""
2011,70,"Wesserunsett Lake, Madison","","","04/23/2011","William ","Reid","RE-0230",""
2011,70,"Wesserunsett Lake, Madison","","","04/23/2011","William","Reid","RE-0230",""
2012,70,"Wesserunsett Lake, Madison","","12/19/2011","03/24/2012","William","Reid","RE-0230",""
2013,70,"Wesserunsett Lake, Madison","","12/12/2012","04/17/2013","William","Reid","RE-0230",""
2014,70,"Wesserunsett Lake, Madison","","","04/29/2014","Will ","Reid","RE-0230",""
2015,70,"Wesserunsett Lake, Madison","","","04/23/2015","William ","Reid","",""
2015,70,"Wesserunsett Lake, Madison","11/29/2014","12/05/2014","04/23/2015","Will","Reid","",""
2016,70,"Wesserunsett Lake, Madison","","12/11/2015","04/03/2016","Will","Reid","",""
2017,70,"Wesserunsett Lake, Madison","","","04/28/2017","Will","Reid","",""
2018,70,"Wesserunsett Lake, Madison","","","04/29/2018","William ","Ried","RE-0230",""
